Date ID     Date           Average Stock Volume (shares)     Temperature (Fahrenheit)     
0           2023-07-20     98266477.0                        60.9                         
1           2023-07-21     142803553.0                       61.4                         
4           2023-07-24     76116035.0                        69.3                         
5           2023-07-25     63743551.0                        61.7                         
6           2023-07-26     67892117.0                        57.4                         
7           2023-07-27     69639528.0                        59.3                         
8           2023-07-28     68026929.0                        66.2                         
11          2023-07-31     56128401.0                        62.0                         
12          2023-08-01     56081190.0                        62.4                         
13          2023-08-02     67936031.0                        62.9                         
14          2023-08-03     93385672.0                        63.4                         
15          2023-08-04     135265615.0                       64.1                         
18          2023-08-07     84508055.0                        54.3                         
19          2023-08-08     66687725.0                        53.5                         
20          2023-08-09     67210340.0                        56.8                         
21          2023-08-10     75785137.0                        58.2                         
22          2023-08-11     61616769.0                        65.5                         
25          2023-08-14     64297576.0                        75.8                         
26          2023-08-15     57920213.0                        80.9                         
27          2023-08-16     65278775.0                        76.1                         
28          2023-08-17     72475529.0                        70.8                         
29          2023-08-18     77757326.0                        77.0                         
32          2023-08-21     72862545.0                        73.6                         
33          2023-08-22     65489364.0                        70.9                         
34          2023-08-23     62226573.0                        69.7                         
35          2023-08-24     62356644.0                        73.1                         
36          2023-08-25     64969044.0                        76.4                         
39          2023-08-28     58630182.0                        59.9                         
40          2023-08-29     70446596.0                        58.1                         
41          2023-08-30     64754155.0                        60.5                         
42          2023-08-31     75474775.0                        54.8                         
43          2023-09-01     71508237.0                        58.4                         
47          2023-09-05     70247680.0                        68.7                         
48          2023-09-06     66843591.0                        70.0                         
49          2023-09-07     70770236.0                        69.5                         
50          2023-09-08     65097164.0                        70.7                         
53          2023-09-11     96065634.0                        73.7                         
54          2023-09-12     73778923.0                        73.2                         
55          2023-09-13     77534695.0                        66.5                         
56          2023-09-14     78592352.0                        58.5                         
57          2023-09-15     113170322.0                       60.0                         
60          2023-09-18     62396755.0                        70.3                         
61          2023-09-19     75556326.0                        60.1                         
62          2023-09-20     71680691.0                        63.8                         
63          2023-09-21     86879400.0                        68.3                         
64          2023-09-22     82444259.0                        62.3                         
67          2023-09-25     65557402.0                        57.4                         
68          2023-09-26     82696681.0                        64.6                         
69          2023-09-27     89901360.0                        67.3                         
70          2023-09-28     75389602.0                        67.9                         
71          2023-09-29     84448729.0                        65.9                         
74          2023-10-02     73289963.0                        65.2                         
75          2023-10-03     68371762.0                        60.3                         
76          2023-10-04     72709769.0                        52.0                         
77          2023-10-05     66160166.0                        52.1                         
78          2023-10-06     70598402.0                        54.6                         
81          2023-10-09     59641807.0                        47.9                         
82          2023-10-10     69004422.0                        56.0                         
83          2023-10-11     61729983.0                        61.7                         
84          2023-10-12     74188425.0                        56.9                         
85          2023-10-13     64648718.0                        60.1                         
88          2023-10-16     58194337.0                        37.9                         
89          2023-10-17     64084003.0                        39.4                         
90          2023-10-18     70182268.0                        37.0                         
91          2023-10-19     97565141.0                        37.7                         
92          2023-10-20     83607638.0                        34.6                         
95          2023-10-23     82401091.0                        49.7                         
96          2023-10-24     70395274.0                        50.5                         
97          2023-10-25     85406725.0                        48.2                         
98          2023-10-26     105317222.0                       46.6                         
99          2023-10-27     115166599.0                       46.2                         
102         2023-10-30     93806417.0                        51.0                         
103         2023-10-31     73749011.0                        46.1                         
104         2023-11-01     81573491.0                        46.4                         
105         2023-11-02     76820335.0                        46.8                         
106         2023-11-03     69218133.0                        44.4                         
109         2023-11-06     69092218.0                        42.2                         
110         2023-11-07     74669068.0                        41.5                         
111         2023-11-08     65209385.0                        39.2                         
112         2023-11-09     71527062.0                        41.6                         
113         2023-11-10     76670000.0                        40.2                         
116         2023-11-13     70602903.0                        36.2                         
117         2023-11-14     87706914.0                        42.6                         
118         2023-11-15     92701805.0                        39.5                         
119         2023-11-16     78707947.0                        36.3                         
120         2023-11-17     80707702.0                        30.8                         
123         2023-11-20     66839978.0                        45.6                         
124         2023-11-21     88246661.0                        30.4                         
125         2023-11-22     69839027.0                        22.6                         
127         2023-11-24     36627320.0                        28.0                         
130         2023-11-27     73185539.0                        24.0                         
131         2023-11-28     77991092.0                        20.3                         
132         2023-11-29     72207716.0                        21.0                         
133         2023-11-30     87993746.0                        16.2                         
134         2023-12-01     67078458.0                        15.3                         
137         2023-12-04     66896101.0                        18.3                         
138         2023-12-05     77205312.0                        20.1                         
139         2023-12-06     68289121.0                        25.3                         
140         2023-12-07     70615974.0                        27.0                         
141         2023-12-08     62312919.0                        24.8                         
